state,district,district_code,date,wheat,fortified_rice,rice,coarse_grains,-barley,-bajra,-maize,-jowar,-ragi,-kodo
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,639,2026-04,23.021,0.0,92.687,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,640,2026-04,16.573,0.0,80.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,638,2026-04,3.485,0.0,122.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,Tirupati,667,2026-04,0.0,"7,121.118",0.0,61.548,0.0,4.25,57.298,0.0,0.0,0.0
ANDHRA PRADESH,Y.S.R.,551,2026-04,0.0,"8,943.201",0.0,249.461,0.0,220.869,28.592,0.0,0.0,0.0
ANDHRA PRADESH,Alluri Sitharama Raju,656,2026-04,0.0,"5,216.304",0.0,0.008,0.0,0.0,0.008,0.0,0.0,0.0
ANDHRA PRADESH,Kakinada,657,2026-04,0.0,"2,757.673",0.0,0.006,0.0,0.0,0.006,0.0,0.0,0.0
ANDHRA PRADESH,Manyam,655,2026-04,0.0,"4,559.33",0.0,0.331,0.0,0.0,0.331,0.0,0.0,0.0
ANDHRA PRADESH,KRISHNA,547,2026-04,0.0,"2,863.75",0.0,0.029,0.0,0.0,0.029,0.0,0.0,0.0
ANDHRA PRADESH,VISAKHAPATANAM,544,2026-04,0.0,"3,215.996",0.0,0.646,0.0,0.0,0.646,0.0,0.0,0.0
ANDHRA PRADESH,PRAKASAM,549,2026-04,0.0,"9,514.756",0.0,28.611,0.0,28.611,0.0,0.0,0.0,0.0
ANDHRA PRADESH,NTR,661,2026-04,0.0,"3,174.952",0.0,18.48,0.0,18.475,0.005,0.0,0.0,0.0
ANDHRA PRADESH,ANANTAPUR,553,2026-04,0.0,"9,376.624",0.0,463.834,0.0,268.45,195.384,0.0,0.0,0.0
ANDHRA PRADESH,Nandyal,665,2026-04,0.0,"6,665.061",0.0,620.074,0.0,608.073,12.001,0.0,0.0,0.0
ANDHRA PRADESH,Sri Satya Sai,666,2026-04,0.0,"8,160.022",0.0,162.329,0.0,117.594,44.735,0.0,0.0,0.0
ANDHRA PRADESH,Bapatla,663,2026-04,0.0,"2,008.227",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,KURNOOL,552,2026-04,0.0,"9,453.05",0.0,544.528,0.0,517.483,27.045,0.0,0.0,0.0
ANDHRA PRADESH,Palnadu,662,2026-04,0.0,"3,314.267",0.0,64.092,0.0,64.089,0.003,0.0,0.0,0.0
ANDHRA PRADESH,WEST GODAVARI,546,2026-04,0.0,"2,716.95",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,CHITTOOR,554,2026-04,0.0,"6,943.929",0.0,35.513,0.0,33.02,2.493,0.0,0.0,0.0
ANDHRA PRADESH,GUNTUR,548,2026-04,0.0,"3,227.01",0.0,35.917,0.0,35.911,0.006,0.0,0.0,0.0
ANDHRA PRADESH,VIZIANAGARAM,543,2026-04,0.0,"7,841.201",0.0,1.482,0.0,0.0,1.482,0.0,0.0,0.0
ANDHRA PRADESH,Eluru,660,2026-04,0.0,"3,815.035",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDHRA PRADESH,SPSR NELLORE,550,2026-04,0.0,"4,474.602",0.0,15.818,0.0,15.278,0.54,0.0,0.0,0.0
ANDHRA PRADESH,Annamayya,664,2026-04,0.0,"6,042.411",0.0,125.955,0.0,108.281,17.674,0.0,0.0,0.0
ANDHRA PRADESH,EAST GODAVARI,545,2026-04,0.0,"3,098.983",0.0,0.006,0.0,0.0,0.006,0.0,0.0,0.0
ANDHRA PRADESH,SRIKAKULAM,542,2026-04,0.0,"9,113.986",0.0,27.011,0.0,0.0,27.011,0.0,0.0,0.0
ANDHRA PRADESH,Anakapalli,658,2026-04,0.0,"6,981.083",0.0,70.453,0.0,0.0,70.453,0.0,0.0,0.0
ANDHRA PRADESH,Konaseema,659,2026-04,0.0,"2,578.333",0.0,0.016,0.0,0.0,0.016,0.0,0.0,0.0
